,abbreviation,signification
0,afaik,As Far As I Know
1,afk,Away From Keyboard
2,asap,As Soon As Possible
3,atk,At The Keyboard
4,atm,At The Moment
5,a3,"Anytime, Anywhere, Anyplace"
6,bak,Back At Keyboard
7,bbl,Be Back Later
8,bbs,Be Back Soon
9,bfn,Bye For Now
10,b4n,Bye For Now
11,brb,Be Right Back
12,brt,Be Right There
13,btw,By The Way
14,b4,Before
15,b4n,Bye For Now
16,cu,See You
17,cul8r,See You Later
18,cya,See You
19,faq,Frequently Asked Questions
20,fc,Fingers Crossed
21,fwiw,For What It's Worth
22,fyi,For Your Information
23,gal,Get A Life
24,gg,Good Game
25,gn,Good Night
26,gmta,Great Minds Think Alike
27,gr8,Great!
28,g9,Genius
29,ic,I See
30,icq,I Seek you (also a chat program)
31,ilu,ILU: I Love You
32,imho,In My Honest/Humble Opinion
33,imo,In My Opinion
34,iow,In Other Words
35,irl,In Real Life
36,kiss,"Keep It Simple, Stupid"
37,ldr,Long Distance Relationship
38,lmao , Laughing My Ass Off
39,lol,Laughing Out Loud
40,ltns,Long Time No See
41,l8r,Later
42,mte,My Thoughts Exactly
43,m8,Mate
44,nrn,No Reply Necessary
45,oic,Oh I See
46,pita,Pain In The A..
47,prt,Party
48,prw,Parents Are Watching
49,qpsa?,Que Pasa?
50,rofl,Rolling On The Floor Laughing
51,roflol,Rolling On The Floor Laughing Out Loud
52,rotflmao,Rolling On The Floor Laughing My A.. Off
53,sk8,Skate
54,stats,Your sex and age
55,asl,"Age, Sex, Location"
56,thx,Thank You
57,ttfn,Ta-Ta For Now!
58,ttyl,Talk To You Later
59,u,You
60,ur,Your
61,u2,You Too
62,u4e,Yours For Ever
63,wb,Welcome Back
64,wtf,What The Fuck
65,wth,What The Hell
66,wtg,Way To Go!
67,wuf,Where Are You From?
68,w8,Wait...
69,7k,Sick:-D Laugher
70,i've,I have
71,ive,I have
72,it's,It is
73,that's,That is
74,omfg,Oh My Fucking God
75,sob,Son of a B–ch
76,nfw,No F—ing Way
77,stfu,Shut The F–k Up
78,fubar,F–ked Up Beyond All Repai
79,snafu,Situation Normal All F–ked Up
80,rtfm,Read The F–king Manual
81,nsfw,Not Safe For Work
